id,Transliteration,Arabic word
d1,Dakhala-Ad’khala,دَخَلَ-أَدْخَلَ
d1,Walaja-Awlaja,وَلَجَ-أَوْلَجَ
d1,Salaa-Sal’laa,صَلَى-صَلَّى
d1,Salaka,سَلَك
d2,Khaz’nah,خَزْنَة
d2,Musaytir,مُسَيْطِر
d3,Wasama,وَسَمَ
d3,Kawaa,كَوَى
d3,Shiyah,شِيَه
d4,E’jaaf,عِجَاف
d4,Daamir,ضَامِر
d5,Taala-Tataa’wala,طَالَ-تَطَاوَلَ
d5,Madda-Maddada,مَدَّ-مَدَّدَ
d5,Baa’ada,بَاعَدَ
d6,Tasaddaa-Hafaa,تَصَدَّى-حَفَا
d7,Shajarah-Shajarr,شَجَرَة-شَجَرْ
d7,Najm,نَجْم
d7,Athal,أَثْل
d7,Yaq’teen,يَقْطِين
d7,Daree’e,ضَرِيع
d7,Zaq’qoom,زَقُّوم
d8,Sawaab,صَوَاب
d8,Haqq,حَقّ
d9,Asslaha,أَصْلَحَ
d9,Sawwaa,سَوَّى
d10,Bayn,بَيْن
d10,Sawaa’a,سَوَاء
d10,Wasat,وَسَط
d10,Khilaal,خِلَال
d10,Qassd,قَصْد
d11,Adoo,عَدوّ
d11,Bagh’daa’a,بَغْضَاء
d11,Shaani’e,شَانِئ
d12,Da’aa,دَعَا
d12,Sallama,سَلَّمَ
d12,Hayya,حَيَّ
d12,Sallaa,صَلَّى
d13,Qalb,قَلْب
d13,Fu’aad,فُؤَاد
d13,Sadrr,صَدْر
d13,Nafss,نَفْس
d14,Wahi,وَحْي
d14,El’haam,إِلْهَام
d14,El’qaa’a,إِلْقَاء
d14,Wass’waass,وَسْوَاس
d14,Hamazaat,هَمَزَات
d15,Daleel,دَلِيل
d15,Hujjah,حُجَّة
d15,Bayinah,بَيِّنَة
d15,Burhaan,بُرْهَان
d15,Sultaan,سُلْطَان
d16,Nahaar,نَهَار
d16,Yawm,يَوْم
d16,Alyawm,الْيَوْم
d16,Yawma’ethen,يَوْمَئِذٍ
d17,Dunyaa,دُنْيَا
d17,Ad’naa,أَدْنَى
d17,Aa’jilah,عَاجِلَة
d17,O’laa,أُولَى
d18,Ba’eed,بَعِيد
d18,Saheeq,سَحِيق
d18,A’meeq,عَمِيق
d18,Qaseeyaa,قَصِيّاً
d19,Ba’a’da-Baa’a’da,بَعَدَ-بَاعَدَ
d19,Qasaa,قَصَا
d19,Naa’aa,نَاءَ
d19,Kaff’fara,كَفَّر
d19,Qadaa,قَضَى
d20,Sara’aa,سَرَعَ
d20,Sa’aa,سَعَى
d20,Zaff’fa,زَفَّ
d20,Rakada,رَكَضَ
d20,Jamaha,جَمَحَ
d20,Hara’aa,هَرَعَ
d20,Nasala,نَسَلَ
d20,Wafada,وَفَضَ
d20,Hata’aa,هَطَعَ
d20,Dabaha,ضَبَحَ
d20,Sabaqa-Ess’tabaqa,سَبَقَ-اِسْتَبَقَ
d21,Awda’aa,أَوْضَعَ
d21,Awjafa,أَوْجَفَ
d22,Annaar,النَّار
d22,Jahannam,جَهَنَّم
d22,Jaheem,جَحِيم
d22,Saqarr,سَقَر
d22,Sa’eer,سَعِير
d22,Haawiyah,هَاوِيَة
d22,Ghayy,غَيّ
d22,Hutamah,حُطَمَة
d23,Khazanah,خَزَنَة
d23,Zabaaniyah,زَبَانِيَة
