id,topic,topicUr
r1,night,رات
r2, Actions in the night,رات کے کام
r3,"Path, way",راہ - راستہ
r4,To establish,راہ ڈالنا –رائج کرنا
r5,"To satisfy, to be pleased ",راضی کرنا - ہونا
r6,To attain status,رتبہ پانا
r7,To face,رخ کرنا
r8,Worthless,ردی – نا کارہ
r9,Rope,رسسی
r10,Relative,رشتہ  دار
r11,Approval,رضامندی [خوشنودی]
r12,To incline,رغبت کرنا
r13,"To put, place ",رکھنا
r14,Colour,رنگ
r15,"Light, to illuminate",روشنی  روشن کرنا - ہونا
r16,Fasting person,روزہ دار
r17,"To prohibit, stop",روکنا
r18,To stop,رکنا
r19,To trample,روندنا
r20,"Splendor, illumined, resplendent",رونق
r21,Sand,ریت
z1,surplus,زائد
z2,To force,زبردستی کرنا
z3,"Wound , gash",زخم
z4,Period of time,زمانہ
z5,Earth and its varieties,زمین اور اسکی اقسام
z6,Sink/collapse into the Earth,زمین بوس ہونا – کرنا 
z7,Chains,زنجیریں
z8,Bring to live,زندہ کرنا
z9,To be live,زندہ ہونا - رہنا
z10,"Elegance, beauty, ornaments",زینت
s1,Along with,ساتھ
s2,companion,ساتھی
s3,Year ,سال
s4,"Goods, provisions",سامان
s5,"To face, appear in front of",سامنے آنا
s6,snake,سانپ
s7,"All,  whole, entire",سب سارے
s8,To entrust,سپرد [حوالے] کرنا
s9,truth,سچ
s10,hard,سخت
s11,hardness,سختی
s12,To raise head,سر اٹھانا
s13,"Chief , leader",سردار
s14,"Cold , winter",سردی
s15,Reckless and arrogant,سرکشی کرنا
s16,To whisper,سرگوشی کرنا
s17,tunnel,سرنگ
s18,"To be lazy, procastinate",سستی کرنا
s19,To travel,سفر کرنا
s20,"to understand, to advise",سمجھنا - سمجھانا
s21,To listen,سننا
s22,To adorn,سنوارنا
s23,"To ride, to mount",سوار ہونا - کرنا
s24,except,سوائے
s25,To sleep,سونا
s26,black,سیاہ سیاہی
s27,straight,سیدھا سیدھی
s28,Cause to travel,سیر کرانا
s29,ladder,سیڑھی
s30,"To learn, teach",سیکھنا سیکھانا
sh1,branch,شاخ
sh2,evening,شام
sh3,maybe,شائد
sh4,"Beer, wine",شراب 
sh5,To be shy,شرمانا
sh6, To start,شروع کرنا
sh7,Private part,شرمگاہ
sh8,"Accomplice, partner",شریک
sh9,Flame,شعلہ
sh10,"Doubt, suspicion",شک و شبہ
sh11,"Shape, figure",شکل و صورت
sh12,Give shape,شکل و صورت بنانا
sh13,split,شگاف
sh14,"Town, city",شہر
sh15,glass,شیشہ
