id,topic,topicUr
dh1,To slaughter,ذبح کرنا
dh2,"Means, medium",ذریعہ
dh3,disgrace,ذلت
dh4,disgraced,ذلیل
dh5,To disgrace,ذلیل کرنا
dh6,responsibility,ذمہ داری
SA1,"To cleanse, wipe ",صاف کرنا
SA2,morning,صبح
SA3,Actions related to the  morning,صبح کرنا
SA4,To be patient,صبر کرنا
SA5,Peace treaty,صلح
DA1,guarantor,ضامن
TA1,Strength,Taaqat
TA2,"Having strength, strong",Taaqat rakhna
TA3,Tradition,"Tareeqah, Dastoor"
TA4,Taunt,Tanah deyna
TA5,To put shackles,Thawq dalna
TA6,To keep hope,Tama3 rakhna
TA7,To decide,Tay karna
ZA1,"To become manifest, revealed",ظاہر ہونا
ZA2,"To reveal, manifest",ظاہر کرنا
