id,topic,topicUr
HA1,need,حاجت
HA2,present,حاضر
HA3,"Condition, state",حال - حالت
HA4,"Ruler, authoritarian ",حاکم
HA5,"To exceed bounds, transgress",حد سے بڑھنا – زیادتی کرنا
HA6,To fall short,حد سے کم کرنا
HA7,Forbidden,حرام
HA8,"Part, portion",حصہ
HA9,To protect,حفاظت کرنا
HA10,Rightful,حقدار
HA11,Right of dowry,حق مہر
HA12,"Order, to command",حکم حکم دینا
HA13,To attack,حملہ کرنا
HA14,To be astonished,حیران ہونا
HA15,Menstruation,حیض
kh1,husband,خاوند
kh2,news,خبر
kh3,finish,ختم ہونا
kh4,servant,خدمت گار
kh5,"Spoiled, ruined",خرابی
kh6,"To ruin, corrupt",خراب کرنا- ہونا
kh7,To spend,خرچ کرنا
kh8,To undertake transactions,خرید وفروخت کرنا
kh9,treasure,خزانہ
kh10,dry/dehydrated,خشک ہونا
kh11,"To liberate, to free",خلاصی چھٹکارا پانا
kh12,creation,خلقت مخلوق
kh13,dream,خواب
kh14,Wish/desire/hope,خواہش
kh15,Beautiful,خوبصورت
kh16,To bring food/nourishment,خوراک لانا
kh17,"To be happy, to make happy, to look happy",خوش ہونا – کرنا -لگنا
kh18,Happiness and Prosperity,خوشحالی 
kh19,"Bunch(of grapes etc), ear (of corn)",خوشے
kh20,Breach of trust,خیانت کرنا
kh21,"Tent, pavilion",خیمہ - سائبان
