id,topic,topicUr,page
A1,To settle,آباد ہونا,67
A2,"To cultivate, populate",آباد کرنا,69
A3,The Hereafter,آخرت  Also refer to the word قیامت,70
A4,"Man, human",آدمی انسان,71
A5,To rest,آرام کرنا,74
A6,To wish,آرزو کرنا,74
A7,Barrier,آڑ   Also refer toپردہ     and دیوار ,76
A8,Free,آزاد,78
A9,To free,آزادکرنا Also refer to رخصت کرنا,79
A10,"To test, Exam",آزمائش کرنا,80
A11,Easy,آسان,82
A12,heaven,آسمان,83
A13,To haunt,آسیب زدہ کرنا,84
A14,Fire,آگ,85
A15,"Live coal, cinder",آگ کا انگارہ,85
A16,"The burning of fire, to lit fire",آگ جلنا جلانا,86
A17,The fire’s burning something,آگ کا دوسری چیزوں  کو جلانا,88
A18,"To be extinguished, to extinguish",بجھنا بجھانا,89
A19,To be aware,آگاہ ہونا,90
A20,"To inform, show",آگاہ کرنا بتلانا,91
A21,"In front, ",آگے سامنے,93
A22,"To come forward, to go forward",آگے آنا بڑھنا,94
A23,To send forward,آگے بیھجنا ,95
A24,"Arms, weapons, armour",آلات جنگ,96
A25,To come,آنا,97
A26,Eyes,آنکھ,98
A27,To wander vagrancy,آوارہ پھرنا,99
A28,Noise and its kind,آواز اور اسکی اقسام,100
A29,To do something slowly,آہستہ آہستہ [کرنا],103
AA1,"To boil, to rage",ابلنا [جوش مارنا],106
AA2,Protrude,ابھار,106
AA3,To Encourage,ابھارنا,108
AA4,"To descend, to reveal, come down",اتارنا- اترنا,109
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,112
AA6,To invent stories/slander,اٹکل پچو [من گھڑت]باتیں کرنا,114
AA7,"To carry, ",اٹھانا,115
AA8,To get up,اٹھنا,118
AA9,To get permission,اجازت لینا,119
AA10,"Obstinate, stubborn",اجڈ,120
AA11,Suddenly,اچانک,121
AA12,"Very good, better",اچھا خوب بہتر,121
AA13, To be strange,اچنبھا [اجنبی ہونا],123
AA14,To do a favour,احسان کرنا,124
AA15,To have power,اختیار [رکھنا],125
AA16,"To choose, select",اختیار کرنا ,126
AA17,Debt/credit,ادھار,127
AA18,To intend,ارادہ کرنا[قصد کرنا],128
AA19,To persist,اڑنا,129
AA20,"To fly, to make fly",اڑنا اڑانا,130
AA21,To indicate,اشارہ کرنا,131
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری,132
AA23,Middle Path/Balanced/Moderation,اعتدال,134
AA24,The book of deeds,اعمال نامہ,135
AA25,"Remorse,  regret",افسوس,136
AA26,To give authority ,اقتدار بخشنا,137
AA27,"To acknowledge,  admit",اقرار کرنا,137
AA28,"To gather,   assemble",اکٹھا کرنا,138
AA29,"To uproot,    uproot",اکھاڑنا-اکھڑنا,140
AA30,One,اکیلا,140
AA31,If,اگر,143
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا,144
AA33,"To separate, to detatch",الگ[ جدا یا علحیدہ] کرنا,145
AA34,         To separate,الگ ہونا,147
AA35,To hope,امید    لگانا     امید لگانا,149
AA36,Intestines,انٹریاں,150
AA37,To await,انتظار کرنا ,150
AA38,End Result/Consequence,انجام [کار],152
AA39,To estimate,andaza lagana,153
AA40,Inside,andar,153
AA41,Blind,اندھا,154
AA42,Justice(to do justice),انصاف[کرنا],155
AA43,"To refute, to refuse",انکار کرنا,157
AA44,Fingers,انگلیاں,158
AA45,To cover,اوڑھنا,158
AA46,Children/Offspring,اولاد   ,159
AA47,Wool,اون,162
AA48,Camel,اونٹ,162
AA49,Doze,اونگھ,165
AA50,Fuel,ایندھن  ,165
AA51,"O,  (word of calling someone)",اے[حرف ندا] ,166
b1,Father,باپ,167
b2,To be blessed ,بابرکت ہونا,168
b3,speech,بات,169
b4,To talk,بات کرنا,171
b5,sovereignty,بادشاہی,172
b6,clouds,بادل,173
b7,Time/s,بار[دفعہ مرتبہ],174
b8,Rain,بارش,175
b9,"To back off, abstain",باز آنا,177
b10,"Arm , wing of bird",بازو,178
b11,Garden,باغ,178
b12,To leave some remaining,باقی چھوڑنا,179
b13,Hair,بال,180
b14,Barren,بانجھ,180
b15,"To bind, fasten",باندھنا,181
b16,Statue,بت,182
b17,Lightning,بجلی,183
b18,To save,بچانا,184
b19,To be saved,بچنا,185
b20,Child,بچہ [لڑکا],186
b21,To spread,بچھانا,188
b22,Spread/Bedding etc,بچھونا,190
b23,"To be stingy, miser",بخل کرنا,190
b24,Wretchedness,بدبختی,193
b25,To curse,بد دعا دینا ,195
b26,To become/ make disfigured,بدصورت بنانا ہونا,196
b27,"Immoral, sinful, sinner",بدکاری بدکار,197
b28,To substitute,بدل دینا,198
b29,Recompense,بدلہ,200
b30,To reward/recompense,بدلہ دینا,203
b31,To take revenge,بدلہ لینا,204
b32,To be Drunk/inebriated,بدمست ہونا,205
b33,"Bad, evil",برا- برائی,206
b34,"To abuse, revile",برابھلا کہنا,207
b35,To dislike/take offence,برا لگنا,209
b36," To be equal, to make equal",برابر ہونا- کرنا,209
b37,"To be ruined, to destroy",برباد ہونا- کرنا ضائع ہونا- کرنا,210
b38,To tolerate,برداشت کرنا,212
b39,"Great, noble, superior",بڑا- [بزرگ],213
b40,Greatness,برائی ,214
b41,"Increase, to increase, expand",بڑھنا بڑھانا,215
b42,"Village, Villagers",بستی-بستی والے,217
