id,topic,topicUr
k1,"To cut, ",کاٹنا
k2,Cut,کٹنا
k3,Paper,کاغز
k4,To be enough,کافی ہونا
k5,To be of use,کام آنا
k6,"Work, To work",کام – کام کرنا
k7,To be successful,کامیاب ہونا
k8,Ears,کان
k9,"To tremble, shiver",کانپنا
k10,When,کب
k11,Book,کتاب
k12,"To dodge, evade",کترا جانا – بچ کر نکل جانا
k13,"How much, how many",کتنا کتنے
k14,To scratch,کریدنا
k15,"Bitter, unpalatable",کڑوا
k16,"Peasant, farmer",کسان
k17,ship,کشتی جہاز
k18,Kaaba and its different names,کعبہ اور اسکے مختلف نام
k19,"Yesterday, tomorrow",کل
k20," To decrease, ", گھٹانا  کم کرنا کمی کرنا
k21,"To earn, ",کمانا – کمائی کرنا
k22,Room,کمرہ
k23,Weak,کمزور
k24,"Edge, brink",کنارہ 
k25,Well,کنواں
k26,Whip,کوڑا
k27,"To endeavor,",کوشش کرنا
k28,Who,کون
k29,"Anybody, somebody",کوئی
k30,"Who , which, that, such as",کہ گویا کہ
k31,Where,کہاں
k32,"Stories, legends, incidents",کہانیاں  واقعات
k33,Skin,کھال
k34,To remove the skin,کھال اتارنا
k35,Food,کھانا
k36,To feed,کھلانا
k37,dates,کھجور
k38,"To stand, cause to stand",کھڑا ہونا - کرنا
k39,To boil,کھولنا
k40,To open,کھولنا
k41,Fields  of crop,کھیتی
k42,To pull,کھینچنا
k43,To play,کھیلنا
k44,What,کیا
k45,How,کیسے
k46,"Why, why not",کیوں – کیوں نہ
k47,To pitch/plant,گاڑنا
gg1,Passage of time,گردش ایام
gg2,Neck,گردن
gg3,"To grasp, to arrest",گرفت کرنا
gg4,"Heat, to heat, to be hot",گرمی – گرم کرنا- ہونا 
gg5,To obtain heat,گرمی حاصل کرنا
gg6,"To fall, cause to fall",گرنا - گرانا
gg7,To pawn,گروی رکھنا
gg8,Ditch,گڑھا
gg9,To pass by,گزرنا
gg10,neck,گلا
gg11,To be lost,گم ہونا
gg12,To think/have thoughts,گمان کرنا
gg13,Sin,گناہ
gg14,Sinful,گنہگار
gg15,"Filth, impurity",گند گی نجاست
gg16,To count,گننا
gg17,Lap,گود
gg18,"Deep, deepness",گہرا - گہرائی
gg19,Watering place,گھاٹ 
gg20,Valley,گھاٹی
gg21,House,گھر
gg22,Time,گھڑی
gg23,Enter by force,گھسنا
gg24,To drag,گھسیٹنا
gg25,horse,گھوڑا
gg26,To surround,گھیرنا
l1,"Stick, staff",لاٹھی
l2,To bring,لانا
l3,To be capable,لائق ہونا
l4,"To coil , enwrap",لپیٹنا لپٹنا
l5,"To hang, dangle",لٹکنا لٹکانا
l6,To regard,لحاظ رکھنا
l7,Army,لشکر
l8,Wood,لکڑی
l9,To write,لکھنا
l10,Cause to write,لکھوانا
l11,Writers,لکھنے والے
l12,Continuous,لگاتار پے در پے
l13,To return,لوٹانا لوٹنا  رجوع کرنا
l14,Divine tablet recording and its various names,لوح محفوظ اور اسکے مختلف نام
l15,"Maid, servant",لونڈی  غلام 
l16,To take,لینا
l17,To be involved in transactions,لین دین کرنا
m1,"To hit, beat, whip, stone",مارنا
m2,"To kill, to die",مار ڈالنا - مرنا
m3,Goods wealth,مال و دولت
m4,Owner,مالک
m5,Mother,ماں
m6,"To ask, beg",مانگنا
m7,To erase,مٹانا
m8,Soil and its different stages,مٹی اور اسکی مختلف حالتیں
m9,"To copulate, intercourse",مجامعت کرنا
m10,"Organization, meeting",مجلس
m11,Fish,مچھلی
m12,Love – to love,محبت -  کرنا
m13,Palace,محل
m14,"To work hard, to endure hardship",محنت کرنا – مشقت اٹھانا
m15,To actively oppose,مخالفت کرنا
m16,"Different, various",مختلف
m17,"Time, length of time",مدت
m18,"To help, assist, to wish for help",مدد دینا – کرنا - چاہنا
m19,helper,مدد گار
m20,To ridicule,مزاق اڑانا
m21,man,مرد
m22,Taste,مزا 
m23,"To adorn, decorate",مزین کرنا
m24,traveller,مسافر
m25,To harness,مسخر کرنا
m26,To subdued,مسلط کرنا
m27,To be busy,مشغول ہونا - 
m28,To put in hardship,مشقت میں ڈالنا
m29,To consult,مشورہ کرنا
m30,To make famous,مشہور کرنا
m31,"Strong, fixed",مضبوط 
m32,"To make it firm, strong",مضبوط بنانا - کرنا
m33,"To forgive, pardon",معاف کرنا  بخشنا درگزر کرنا
m34,Deity,معبود
m35,Status and capacity,مقدور - حیثیت
m36,"To appoint, ",مقرر کرنا
m37,fly,مکھی
m38,To meet,ملنا
m39,"To join, mix, blend ",ملانا
m40,To turn your face away,منہ پھیرنا
m41,To agree,موافقت کرنا
m42,"To bend, turn",موڑنا
m43,Merciful,مہربان
m44,"To stamp, to put a seal",مہر لگانا
m45,"To give time, reprieve",مہلت دینا
m46,Visitor,مہمان
m47,Months,مہینے
m48,"Peg, nail",میخ
n1,To be hopeless,نا امید ہونا
n2,"Impure, polluted, ",ناپاک
n3,Disliked thing,ناپسندیدہ
n4,"Ignorant, naive",نادان
n5,Upset and angry,ناراضگی
n6,Ungrateful,ناشکرا
n7,To disobey,نافرمانی کرنا
n8,Nose,ناک
n9,"Name, to keep a name",نام - رکھنا
n10,Inauspicious,نامبارک
n11,To be liberated,نجات پانا
n12,Gifts and oblations,نذر و نیاز
n13,"To be soft, soften",نرم ہونا - کرنا
n14,"To be near, to make it close",نزدیک ہونا - کرنا
n15,sign,نشانی
n16,To place an emblem,نشان لگانا
n17,"Advice, to give , to attain",نصیحت – کرنا – حاصل کرنا
n18,"Grace, divine blessings",نعمت
n19,To give blessings,نعمت عطا کرنا
n20,"To have loss, incur loss",نقصان ہونا - اٹھانا
n21,"To marry, marry off",نکاح کرنا - کرانا
n22,To come out,نکلنا
n23,To take out,نکالنا
n24,"Glance, sight",نگاہ
n25,watchman,نگہبان
n26,To swallow,نگلنا
n27,To wash,نہانا -دھونا
n28,"No, nay",نہیں
n29,"New , to be fresh",نیا – نیا ہونا
n30,"Under, lowest",نیچے
n31,To lower,نیچے [پست ] کرنا
n32,"Pious, virtuous",نیک  نیکبخت
n33,"Good, piety",نیکی – نیک کام
n34,"To do good, ",نیکی کرنا
