id,topic,topicUr
A1,To settle,آباد ہونا
A2,"To cultivate, populate",آباد کرنا
A3,The Hereafter,آخرت  Also refer to the word قیامت
A4,"Man, human",آدمی انسان
A5,To rest,آرام کرنا
A6,To wish,آرزو کرنا
A7,Barrier,آڑ   Also refer toپردہ     and دیوار 
A8,Free,آزاد
A9,To free,آزادکرنا Also refer to رخصت کرنا
A10,"To test, Exam",آزمائش کرنا
A11,Easy,آسان
A12,heaven,آسمان
A13,To haunt,آسیب زدہ کرنا
A14,Fire,آگ
A15,"Live coal, cinder",آگ کا انگارہ
A16,"The burning of fire, to lit fire",آگ جلنا جلانا
A17,The fire’s burning something,آگ کا دوسری چیزوں  کو جلانا
A18,"To be extinguished, to extinguish",بجھنا بجھانا
A19,To be aware,آگاہ ہونا
A20,"To inform, show",آگاہ کرنا بتلانا
A21,"In front, ",آگے سامنے
A22,"To come forward, to go forward",آگے آنا بڑھنا
A23,To send forward,آگے بیھجنا 
A24,"Arms, weapons, armour",آلات جنگ
A25,To come,آنا
A26,Eyes,آنکھ
A27,To wander vagrancy,آوارہ پھرنا
A28,Noise and its kind,آواز اور اسکی اقسام
A29,To do something slowly,آہستہ آہستہ [کرنا]
AA1,"To boil, to rage",ابلنا [جوش مارنا]
AA2,Protrude,ابھار
AA3,To Encourage,ابھارنا
AA4,"To descend, to reveal, come down",اتارنا- اترنا
AA5,To be boastful/arrogant,اترانا – تکبر کرنا
AA6,To invent stories/slander,اٹکل پچو [من گھڑت]باتیں کرنا
AA7,"To carry, ",اٹھانا
AA8,To get up,اٹھنا
AA9,To get permission,اجازت لینا
AA10,"Obstinate, stubborn",اجڈ
AA11,Suddenly,اچانک
AA12,"Very good, better",اچھا خوب بہتر
AA13, To be strange,اچنبھا [اجنبی ہونا]
AA14,To do a favour,احسان کرنا
AA15,To have power,اختیار [رکھنا]
AA16,"To choose, select",اختیار کرنا 
AA17,Debt/credit,ادھار
AA18,To intend,ارادہ کرنا[قصد کرنا]
AA19,To persist,اڑنا
AA20,"To fly, to make fly",اڑنا اڑانا
AA21,To indicate,اشارہ کرنا
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری
AA23,Middle Path/Balanced/Moderation,اعتدال
AA24,The book of deeds,اعمال نامہ
AA25,"Remorse,  regret",افسوس
AA26,To give authority ,اقتدار بخشنا
AA27,"To acknowledge,  admit",اقرار کرنا
AA28,"To gather,   assemble",اکٹھا کرنا
AA29,"To uproot,    uproot",اکھاڑنا-اکھڑنا
AA30,One,اکیلا
AA31,If,اگر
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا
AA33,"To separate, to detatch",الگ[ جدا یا علحیدہ] کرنا
AA34,         To separate,الگ ہونا
AA35,To hope,امید    لگانا     امید لگانا
AA36,Intestines,انٹریاں
AA37,To await,انتظار کرنا 
AA38,End Result/Consequence,انجام [کار]
AA39,To estimate,andaza lagana
AA40,Inside,andar
AA41,Blind,اندھا
AA42,Justice(to do justice),انصاف[کرنا]
AA43,"To refute, to refuse",انکار کرنا
AA44,Fingers,انگلیاں
AA45,To cover,اوڑھنا
AA46,Children/Offspring,اولاد   
AA47,Wool,اون
AA48,Camel,اونٹ
AA49,Doze,اونگھ
AA50,Fuel,ایندھن  
AA51,"O,  (word of calling someone)",اے[حرف ندا] 
b1,Father,باپ
b2,To be blessed ,بابرکت ہونا
b3,speech,بات
b4,To talk,بات کرنا
b5,sovereignty,بادشاہی
b6,clouds,بادل
b7,Time/s,بار[دفعہ مرتبہ]
b8,Rain,بارش
b9,"To back off, abstain",باز آنا
b10,"Arm , wing of bird",بازو
b11,Garden,باغ
b12,To leave some remaining,باقی چھوڑنا
b13,Hair,بال
b14,Barren,بانجھ
b15,"To bind, fasten",باندھنا
b16,Statue,بت
b17,Lightning,بجلی
b18,To save,بچانا
b19,To be saved,بچنا
b20,Child,بچہ [لڑکا]
b21,To spread,بچھانا
b22,Spread/Bedding etc,بچھونا
b23,"To be stingy, miser",بخل کرنا
b24,Wretchedness,بدبختی
b25,To curse,بد دعا دینا 
b26,To become/ make disfigured,بدصورت بنانا ہونا
b27,"Immoral, sinful, sinner",بدکاری بدکار
b28,To substitute,بدل دینا
b29,Recompense,بدلہ
b30,To reward/recompense,بدلہ دینا
b31,To take revenge,بدلہ لینا
b32,To be Drunk/inebriated,بدمست ہونا
b33,"Bad, evil",برا- برائی
b34,"To abuse, revile",برابھلا کہنا
b35,To dislike/take offence,برا لگنا
b36," To be equal, to make equal",برابر ہونا- کرنا
b37,"To be ruined, to destroy",برباد ہونا- کرنا ضائع ہونا- کرنا
b38,To tolerate,برداشت کرنا
b39,"Great, noble, superior",بڑا- [بزرگ]
b40,Greatness,برائی 
b41,"Increase, to increase, expand",بڑھنا بڑھانا
b42,"Village, Villagers",بستی-بستی والے
b43,Goat,بکری
b44,"To be scattered, dishevelled",بکھرنا [پراگندہ ہونا]
b45,"To elevate, raise",بلند کرنا
b46,"To be lofty, to be above",بلند ہونا
b47,To make,بنانا
b48,"To close, shut",بند کرنا
b49,"Weave , knit",بننا
b50,"Load, burden",بوجھ
b51,"To be burdened, loaded",بوجھل ہونا [گراں ہونا]
b52,Old,بوڑھا
b53,"To decay, rot",بوسیدہ ہونا
b54,To speak,بولنا
b55," To Pour, to flow ",بہنا  بہانا
b56,"Excuse, to make an excuse",بہانہ – بہانہ بنانا
b57,slander,بہتان
b58,"Astray, to lead astray",بہکنا بہکانا
b59,"Flee , cause to flee",بھاگنا بھگانا
b60,brother,بھائی
b61,To fill up,بھر جانا
b62,hunger,بھوک
b63,"Forget, cause to forget",بھولنا بھلانا
b64,To roast like on a spit fire,بھننا
b65,"To send, dispatch",بھیجنا
b66,To narrate or state,بیان کرنا
b67,"Son , daughter",بیٹا بیٹی
b68,To sit,بیٹھنا
b69,Ill,بیمار
b70,Wife,بیوی
b71,"To be unfair, unjust",بے انصافی کرنا
b72,Disinclination,بے رغبتی کرنا
b73,To be annoyed and dissatisfied,بیزار ہونا
b74,Indeed,بیشک
b75,To be restless,بے قرار ہونا [کرنا]
b76,"To be jobless, worthless",بیکار ہونا
b77,Lacking good fortune,بےنصیب
b78,"Without want, Completely Independent",بےنیاز
b79,Nonsense and frivolous talk,بےہودہ کلام
b80,To be unconscious,بےہوش ہونا
p1,"Near, close",پاس
p2,Pure,پاک [ستھرا]
p3,"To purify, cleanse",پاک کرنا
p4,To obtain,پانا
p5,Water and its different types,پانی اور اسکی اقسام
