id,topic,topicUr
E1,"To be helpless, fall short",عاجز آنا
E2,To show humility,عاجزی کرنا
E3,scholar,عالم 
E4,Places of worships,عبادت گاہیں
E5,punishment,عزاب – سزا 
E6,To give punishment,عزاب دینا
E7,Different types of punishments,عزاب کی اقسام
E8,Confer honor/ dignity,عزت بخشنا
E9,"Honorable, respectable",عزت والا - معزز
E10,"Brain, intelligent",عقل - عقلمند
E11,To lose his brains,عقل کھودینا
E12,women,عورت
E13,"Promise , oath",عہد - وعدہ
gh1,Cave,غار 
gh2,To be neglectful,غافل ہونا – کرنا 
gh3,"To become overpowered, to be overpowered,  to overpower, ",غالب آنا  ہونا کرنا
gh4,Dust,غبار 
gh5,"Anger, temper",غصہ
gh6,To enrage,غصۃ دلانا
gh7,"Grief, sadness",غم
gh8,To be sad,غمگین ہونا
gh9,To reflect,غور کرنا
f1,"Benefit, to give benefit",فائدہ – فائدہ دینا
f2,To conquer,فتح ہونا -دینا
f3,Sufficient,فراخی آسودگی 
f4,"To be broaden, to make space",فراخ ہونا – کرنا 
f5,Angel,فرشتہ
f6,Difference,فرق
f7,Group of people,فرقہ - گروہ
f8,Cry out for assistance ,فریاد رسی
f9,To implore,فریاد کرنا
f10,"To corrupt, to create problems",فساد کرنا- ڈالنا
f11,Useless talk ,فضول باتیں کرنا
f12,To spend  excessively,فضول خرچی کرنا
f13,To give honour,فضیلت دینا
f14,To decree/make a decision,فیصلہ کرنا
q1,To gain control,قابو پانا
q2,caravan,قافلہ
q3,grave,قبر
q4,To accept,قبول کرنا
q5,"Family,tribe",قبیلہ خاندان
q6,To kill,قتل کرنا 
q7,step,قدم
q8,To have stability,قرار پکڑنا
q9,Different names of the Quran,قرآن کے مختلف نام
q10,Animal of sacrificeا,قربانی کا جانور
q11,To take an oath,قسم اٹھانا
q12,To break an oath,قسم توڑنا
q13,fort,قلعہ
q14,To strengthen,قوت دینا 
q15,"Shirt, garment",قمیص
q16,Doomsday and its different names,قیامت اور اسکے مختلف نام
q17,jail,قید خانہ
q18,To imprison,قید کرنا   قیدی بنانا
