Transliteration,Arabic word
Dakhala-Ad’khala,??????-????????
Walaja-Awlaja,??????-????????
Salaa-Sal’laa,?????-??????
Salaka,?????
Khaz’nah,???????
Musaytir,?????????
Wasama,??????
Kawaa,?????
Shiyah,?????
E’jaaf,??????
Daamir,??????
Taala-Tataa’wala,?????-?????????
Madda-Maddada,?????-???????
Baa’ada,???????
Tasaddaa-Hafaa,????????-?????
Shajarah-Shajarr,???????-??????
Najm,?????
Athal,?????
Yaq’teen,????????
Daree’e,??????
Zaq’qoom,???????
Sawaab,??????
Haqq,????
Asslaha,????????
Sawwaa,??????
Bayn,?????
Sawaa’a,??????
Wasat,?????
Khilaal,??????
Qassd,?????
Adoo,?????
Bagh’daa’a,????????
Shaani’e,??????
Da’aa,?????
Sallama,???????
Hayya,?????
Sallaa,??????
Qalb,?????
Fu’aad,??????
Sadrr,?????
Nafss,?????
Wahi,?????
El’haam,????????
El’qaa’a,????????
Wass’waass,????????
Hamazaat,????????
Daleel,??????
Hujjah,??????
Bayinah,????????
Burhaan,????????
Sultaan,????????
Nahaar,??????
Yawm,?????
Alyawm,????????
Yawma’ethen,??????????
Dunyaa,???????
Ad’naa,???????
Aa’jilah,????????
O’laa,??????
Ba’eed,??????
Saheeq,??????
A’meeq,??????
Qaseeyaa,????????
Ba’a’da-Baa’a’da,??????-???????
Qasaa,?????
Naa’aa,?????
Kaff’fara,??????
Qadaa,?????
Sara’aa,??????
Sa’aa,?????
Zaff’fa,?????
Rakada,??????
Jamaha,??????
Hara’aa,??????
Nasala,??????
Wafada,??????
Hata’aa,??????
Dabaha,??????
Sabaqa-Ess’tabaqa,??????-??????????
Awda’aa,????????
Awjafa,????????
Annaar,???????
Jahannam,????????
Jaheem,??????
Saqarr,?????
Sa’eer,??????
Haawiyah,????????
Ghayy,????
Hutamah,???????
Khazanah,???????
Zabaaniyah,??????????
Maalik,??????
