id,topic,topicUr
t1,Star (different types),تارا [اقسام]
t2,Spread of darkness,تاریکی چھانا
t3,fresh,تازہ
t4,"So that, so not",تاکہ – تاکہ نہ
t5,Copper,تانبا
t6,"Throne,  bed",تخت 
t7,"Plank of wood, a board",تختہ
t8,"Plot, to plot",تدبیر –تدبیر کرنا
t9,scales,ترازو
t10,To carve,تراشنا
t11,vegetables,ترکاری
t12,Glorification of Allah,تسبیح و تقدیس
t13,Peace and consolation,تسکین تسلی
t14,"To interpret, ",تعبیر بتلانا
t15,To praise,تعریف کرنا
t16,"To honour, respect",تعظیم کرنا
t17,"To, until",تک
t18,"Trouble, difficulty, hardship",تکلیف
t19,"To trouble, to endure hardship",تکلیف دینا - اٹھانا
t20,"To cure, to be healthy",تندرست کرنا -ہونا
t21,"Poor, destitute",تنگدستی
t22,hardship,تنگی
t23,"To narrow down, ",تنگ کرنا- ہونا
t24,To break,توڑنا-
t25,To give Divine help,توفیق دینا- 
t26,Layered,تہ بہ تہ
t27,To get tired,تھکنا ]
t28,Stop ,تھمنا [رکنا]
t29,Less,تھوڑا
t30,To prepare,تیار کرنا
t31,Arrow,تیر
t32,Sharp,تیز
t33,Oil,تیل
t34,"Scowl, frown",تیوری چڑھانا
tt1,Piece,ٹکڑا
tt2,To break,ٹوٹنا
tt3,"To be cool , to cool",ٹھندا ہونا - کرنا
tt4,"To stay, to stop",ٹھیرنا [رکنا]
tt5,"To stay, to reside ",ٹھیرنا آباد ہونا
tt6,Hill and types,ٹیلہ اور اسکی اقسام
tt7,"Crooked, to be bent",ٹیڑھ  ٹیڑھا ہونا  
tt8,To lean against something,ٹیک لگانا
th1,proven,ثابت ہونا
th2,To be steadfast,ثابت قدم رہنا  رکھنا 
