id,topic,topicUr
b1,Father,باپ
b2,To be blessed ,بابرکت ہونا
b3,speech,بات
b4,To talk,بات کرنا
b5,sovereignty,بادشاہی
b6,clouds,بادل
b7,Time/s,بار[دفعہ مرتبہ]
b8,Rain,بارش
b9,"To back off, abstain",باز آنا
b10,"Arm , wing of bird",بازو
b11,Garden,باغ
b12,To leave some remaining,باقی چھوڑنا
b13,Hair,بال
b14,Barren,بانجھ
b15,"To bind, fasten",باندھنا
b16,Statue,بت
b17,Lightning,بجلی
b18,To save,بچانا
b19,To be saved,بچنا
b20,Child,بچہ [لڑکا]
b21,To spread,بچھانا
b22,Spread/Bedding etc,بچھونا
b23,"To be stingy, miser",بخل کرنا
b24,Wretchedness,بدبختی
b25,To curse,بد دعا دینا 
b26,To become/ make disfigured,بدصورت بنانا ہونا
b27,"Immoral, sinful, sinner",بدکاری بدکار
b28,To substitute,بدل دینا
b29,Recompense,بدلہ
b30,To reward/recompense,بدلہ دینا
b31,To take revenge,بدلہ لینا
b32,To be Drunk/inebriated,بدمست ہونا
b33,"Bad, evil",برا- برائی
b34,"To abuse, revile",برابھلا کہنا
b35,To dislike/take offence,برا لگنا
b36," To be equal, to make equal",برابر ہونا- کرنا
b37,"To be ruined, to destroy",برباد ہونا- کرنا ضائع ہونا- کرنا
b38,To tolerate,برداشت کرنا
b39,"Great, noble, superior",بڑا- [بزرگ]
b40,Greatness,برائی 
b41,"Increase, to increase, expand",بڑھنا بڑھانا
b42,"Village, Villagers",بستی-بستی والے
b43,Goat,بکری
b44,"To be scattered, dishevelled",بکھرنا [پراگندہ ہونا]
b45,"To elevate, raise",بلند کرنا
b46,"To be lofty, to be above",بلند ہونا
b47,To make,بنانا
b48,"To close, shut",بند کرنا
b49,"Weave , knit",بننا
b50,"Load, burden",بوجھ
b51,"To be burdened, loaded",بوجھل ہونا [گراں ہونا]
b52,Old,بوڑھا
b53,"To decay, rot",بوسیدہ ہونا
b54,To speak,بولنا
b55," To Pour, to flow ",بہنا  بہانا
b56,"Excuse, to make an excuse",بہانہ – بہانہ بنانا
b57,slander,بہتان
b58,"Astray, to lead astray",بہکنا بہکانا
b59,"Flee , cause to flee",بھاگنا بھگانا
b60,brother,بھائی
b61,To fill up,بھر جانا
b62,hunger,بھوک
b63,"Forget, cause to forget",بھولنا بھلانا
b64,To roast like on a spit fire,بھننا
b65,"To send, dispatch",بھیجنا
b66,To narrate or state,بیان کرنا
b67,"Son , daughter",بیٹا بیٹی
b68,To sit,بیٹھنا
b69,Ill,بیمار
b70,Wife,بیوی
b71,"To be unfair, unjust",بے انصافی کرنا
b72,Disinclination,بے رغبتی کرنا
b73,To be annoyed and dissatisfied,بیزار ہونا
b74,Indeed,بیشک
b75,To be restless,بے قرار ہونا [کرنا]
b76,"To be jobless, worthless",بیکار ہونا
b77,Lacking good fortune,بےنصیب
b78,"Without want, Completely Independent",بےنیاز
b79,Nonsense and frivolous talk,بےہودہ کلام
b80,To be unconscious,بےہوش ہونا
p1,"Near, close",پاس
p2,Pure,پاک [ستھرا]
p3,"To purify, cleanse",پاک کرنا
p4,To obtain,پانا
p5,Water and its different types,پانی اور اسکی اقسام
p6,Different types of natural flowing water,پانی کے رستے اور اسکے ذخیرے
p7,To ask for water,پانی مانگنا
p8,Feet,پاوّں
p9,Stone,پتھر
p10,"Behind, latter",پچھلا
p11,To regret,پچھتانا
p12,To be old/ancient,پرانا ہونا
p13,Veil,پردہ
p14,"To cover, veil",پردہ کرنا
p15,To bring up/nurture,پرورش کرنا
p16,"To teach, to read",پڑھانا پڑھنا
p17,"To like, ",پسند کرنا
p18,"To shout, call out",پکارنا
p19,To seize,پکڑنا
p20,"Protection, shelter, refuge",پناہ – پناہ گاہ
p21,"To ask for refuge, to give refuge",پناہ مانگنا - دینا
p22,To ask,پوچھنا
p23,"Whole entire, (all)",پورا  [سارا سب]
p24,"Accomplish , to complete",پورا کرنا -ہونا
p25,"Garments, clothes",پوشاک
p26,Mountain,پہار
p27,To recognize,پہچاننا
p28,"First, at first",پہلا پہلی پہلے
p29,"Side, (in sleeping)",پہلو [کروٹ] 
p30, To reach,پہنچنا
p31,To deliver,پہنچانا
p32,"To tear, rip ",پھاڑنا
p33,"To Burst, explode",پھٹنا
p34,"To stroll, to wander",پھرنا  
p35,"To turn over, to refute",پھیرنا
p36,"To slip, cause to slip, to seduce",پھسلنا  پھسلانا
p37,Fruit,پھل
p38,Ripening of the fruit,پھل پکنا
p39,To blow,پھونک مارنا
p40,To spread,پھیلانا
p41,To discard,پھینکنا 
p42,Thirsty,پیاسا
p43,Bowl,پیالہ
p44,Puss,پیپ
p45,"Backbone, loin",پیٹھ پشت
p46,To follow,پیچھا کرنا
p47,"Back, behind",پیچھے
p48,"Ensue, to come after",پیچھے آنا
p49,To leave behind,چھوڑنا
p50,To stay behind,پیچھے رہنا
p51,"To put behind, cause to delay",پیچھے کرنا یا ڈالنا
p52,"To pursue, follow, cause to",پیچھے لگانا - لگنا
p53,Other derivatives of behind,پیچھے کے دوسرے مشتقات
p54,To create,پیدا کرنا
p55,To present,پیش کرنا
p56,Forehead,پیشانی
p57,Prophet,پیغمبر
p58,"The opponent, rival of prophets",پیغمبروں کے حریف
p59,To drink,پینا
