d1,داخل ہونا - کرنا,"To enter, to be entered"
d2,داروغہ,Superintendent
d3,داغ دینا,To mark/scar
d4,دبلا,"slim, lean"
d5,دراز ہونا - کرنا,"Prolong, lengthen"
d6,در پے ہونا,Very persistent
d7,درخت اور پودے,Trees and shrubs
d8,درست ٹھیک,"Correct, sound"
d9,درست کرنا,"To correct, rectify"
d10,درمیان,In between
d11,دشمن دشمنی,"Enemy, animosity"
d12,دعا دینا - کرنا,To pray for/to
d13,دل,Heart
d14,دل میں بات ڈالنا,Inspiration in the heart
d15,دلیل,Proof
d16,دن اور اسکے اوقات,Day and its times
d17,دنیا کے مختلف نام,Different names for the world
d18,دور,Far away
d19,دور کرنا - ہونا,"To distance, to be distanced"
d20,ڈورنا ,To run
d21,ڈورانا,Cause to run
d22,دوزخ اور اسکے مختلف نام,Hell and its various names
d23,دوزخ کے فرشتے,Angels of hell fire
d24,دوست,friend
d25,دھتکارنا,"Drive (dogs out), revile, reprove"
d26,دھندلانا,Concealed
d27,دھواں,Smoke
d28,دھوپ,Sunshine
d29,دھوکہ دینا,To deceive
d30,دیکھنا,"To see, look "
d31,دیکھنا [کیفیت نظر],Various ways of looking
d32,دکھلانا,To show/reveal
d33,دین,Religion
d34,دینا,To give
d35,دیوار,Wall
d36,دیوانہ- دیوانگی,"Lunatic , insanity"
d37,ڈالنا,"To throw, pour, cast away"
d38,ڈبونا,"To drown, dip"
d39,ڈرنا,To fear
d40,ڈرانا,To frighten
d41,ڈول,Bucket
d42,ڈھال,Shield
d43,ڈھانکنا,To cover
d44,ڈھلنا,Setting (ie sun) 
d45,ڈھونڈنا,To search
f1,فائدہ – فائدہ دینا,"Benefit, to give benefit"
f2,فتح ہونا -دینا,To conquer
f3,فراخی آسودگی ,Sufficient
f4,فراخ ہونا – کرنا ,"To be broaden, to make space"
f5,فرشتہ,Angel
f6,فرق,Difference
f7,فرقہ - گروہ,Group of people
f8,فریاد رسی,Cry out for assistance 
f9,فریاد کرنا,To implore
f10,فساد کرنا- ڈالنا,"To corrupt, to create problems"
f11,فضول باتیں کرنا,Useless talk 
f12,فضول خرچی کرنا,To spend  excessively
f13,فضیلت دینا,To give honour
f14,فیصلہ کرنا,To decree/make a decision
H1,حاجت,need
H2,حاضر,present
H3,حال - حالت,"Condition, state"
H4,حاکم,"Ruler, authoritarian "
H5,حد سے بڑھنا – زیادتی کرنا,"To exceed bounds, transgress"
H6,حد سے کم کرنا,To fall short
H7,حرام,Forbidden
H8,حصہ,"Part, portion"
