id,wordEn,word,root
d1,Dakhala-Ad’khala,دَخَلَ-أَدْخَلَ,dxl
d1,Walaja-Awlaja,وَلَجَ-أَوْلَجَ,wlj
d1,Salaa-Sal’laa,صَلَى-صَلَّى,Sly
d1,Salaka,سَلَك,slk
d2,Khaz’nah,خَزْنَة,xzn
d2,Musaytir,مُسَيْطِر,STr
d3,Wasama,وَسَمَ,wsm
d3,Kawaa,كَوَى,kwy
d3,Shiyah,شِيَه,w$y
d4,E’jaaf,عِجَاف,Ejf
d4,Daamir,ضَامِر,Dmr
d5,Taala-Tataa’wala,طَالَ-تَطَاوَلَ,Twl
d5,Madda-Maddada,مَدَّ-مَدَّدَ,mdd
d5,Baa’ada,بَاعَدَ,bEd
d6,Tasaddaa,تَصَدَّى,Sdy
d6,Hafaa,حَفَا,Hfw
d7,Shajarah-Shajarr,شَجَرَة-شَجَرْ,$jr
d7,Najm,نَجْم,njm
d7,Athal,أَثْل,Avl
d7,Yaq’teen,يَقْطِين,qTn
d7,Daree’e,ضَرِيع,DrE
d7,Zaq’qoom,زَقُّوم,
d8,Sawaab,صَوَاب,Swb
d8,Haqq,حَقّ,Hqq
d9,Asslaha,أَصْلَحَ,SlH
d9,Sawwaa,سَوَّى,swy
d10,Bayn,بَيْن,byn
d10,Sawaa’a,سَوَاء,swA
d10,Wasat,وَسَط,wsT
d10,Khilaal,خِلَال,xll
d10,Qassd,قَصْد,qsd
d11,Adoo,عَدوّ,Edw
d11,Bagh’daa’a,بَغْضَاء,bgD
d11,Shaani’e,شَانِئ,$nA
d12,Da’aa,دَعَا,dEw
d12,Sallama,سَلَّمَ,slm
d12,Hayya,حَيَّ,Hyy
d12,Sallaa,صَلَّى,Slw
d13,Qalb,قَلْب,qlb
d13,Fu’aad,فُؤَاد,fAd
d13,Sadrr,صَدْر,Sdr
d13,Nafss,نَفْس,nfs
d14,Wahi,وَحْي,wHy
d14,El’haam,إِلْهَام,
d14,El’qaa’a,إِلْقَاء,
d14,Wass’waass,وَسْوَاس,wsws
d14,Hamazaat,هَمَزَات,hmz
d15,Daleel,دَلِيل,dll
d15,Hujjah,حُجَّة,Hjj
d15,Bayinah,بَيِّنَة,byn
d15,Burhaan,بُرْهَان,brh
d15,Sultaan,سُلْطَان,
d16,Nahaar,نَهَار,nhr
d16,Yawm,يَوْم,ywm
d16,Alyawm,الْيَوْم,ywm
d16,Yawma’ethen,يَوْمَئِذٍ,ywm
d17,Dunyaa,دُنْيَا,dny
d17,Ad’naa,أَدْنَى,Adn
d17,Aa’jilah,عَاجِلَة,Ejl
d17,O’laa,أُولَى,
d18,Ba’eed,بَعِيد,bEd
d18,Saheeq,سَحِيق,sHq
d18,A’meeq,عَمِيق,Emq
d18,Qaseeyaa,قَصِيّاً,qsy
d19,Ba’a’da-Baa’a’da,بَعَدَ-بَاعَدَ,bEd
d19,Qasaa,قَصَا,qSw
d19,Naa’aa,نَاءَ,
d19,Kaff’fara,كَفَّر,kfr
d19,Qadaa,قَضَى,qDA
d20,Sara’aa,سَرَعَ,srE
d20,Sa’aa,سَعَى,sEy
d20,Zaff’fa,زَفَّ,zff
d20,Rakada,رَكَضَ,rkD
d20,Jamaha,جَمَحَ,jmH
d20,Hara’aa,هَرَعَ,hrE
d20,Nasala,نَسَلَ,nsl
d20,Wafada,وَفَضَ,wfD
d20,Hata’aa,هَطَعَ,hTE
d20,Dabaha,ضَبَحَ,DbH
d20,Sabaqa-Ess’tabaqa,سَبَقَ-اِسْتَبَقَ,sbq
d21,Awda’aa,أَوْضَعَ,wDE
d21,Awjafa,أَوْجَفَ,wjf
d22,Annaar,النَّار,nwr
d22,Jahannam,جَهَنَّم,jHm
d22,Jaheem,جَحِيم,jHm
d22,Saqarr,سَقَر,sqr
d22,Sa’eer,سَعِير,sEr
d22,Haawiyah,هَاوِيَة,hwy
d22,Ghayy,غَيّ,gwy
d22,Hutamah,حُطَمَة,HTm
d23,Khazanah,خَزَنَة,xzn
d23,Zabaaniyah,زَبَانِيَة,zbn
d23,Maalik,مَالِك,mlk
d24,Qareen,قَرِين,qrn
d24,Rafeeq,رَفِيق,rfq
d24,Sadeeq-Sid’deeq,صَدِيق-صِدِّيق,Sdq
d24,Walee-Mawaalee,وَلِي-مَوَالِي,wly
d24,Khaleel,خَلِيل,xll
d24,Hameem,حَمِيم,Hmm
d24,Waleejah,وَلِيجَة,wlj
d24,Bitaanah,بِطَانَة,bTn
d24,Khathool,خَذُول,x*l
d24,Akh’daan,أَخْدَان,xdn
d25,Rajama,رَجَمَ,rjm
d25,Khasa’aa,خَسَأَ,xsA
d25,Dahara,دَحَرَ,dHr
d26,Ebyadda,اِبْيَضَ,byD
d26,En’kadara,اِنْكَدَرَ,kdr
d26,Aman,عَمَىً,Emm
d26,Ghummah,غُمَّةً,gmm
d27,Dukh’khaan,دُخَان,dxn
d27,Nuhaass,نُحَاس,nHs
d27,Yah’moom,يَحْمُوم,Hmm
d28,Shamss,شَمْس,$ms
d28,Duhaa,ضُحَى,DHy
d28,Harra,حَرَّ,Hrr
d28,Haroor,حَرُور,Hrr
d29,Gharra,غَرَّ,grr
d29,Khada’aa,خَدَعَ,xdE
d29,Khaana,خَانَ,xwn
d29,Khathala,خَذَلَ,x*l
d29,Raagha,رَاغَ,rwg
d29,Khatara,خَتَرَ,xtr
d30,Ra’aa,رَأَى,rAy
d30,Nazara,نَظَرَ,nZr
d30,Basara-Basura,بَصَرَ-بَصُرَ,bSr
d30,Aaanasa,آنَسَ,Ans
d30,Zaara,زَارَ,zwr
d31,Shakhasa,شَخَصَ,$xS
d31,Lamaha,لَمَحَ,lmH
d31,Hata’aa,هَطَعَ,hTE
d31,Ashaa,عَشَا,E$A
d31,Aghmada,أَغْمَضَ,gmD
d31,Zaagha,زَاغَ,zAg
d31,Bariqa,بَرِقَ,brq
d32,Araa-Ara,أَرَاى-ارى,Ary
d32,Basura,بَصرَ,bSr
d32,Tabarraj,تَبَرَّج,brj
d33,Deen,دِين,dyn
d33,Sahree’ah,شَرِيعَة,$rE
d33,Millah,مِلَّة,mll
d34,Ataa,أَتَى,Aty
d34,A’ataa,أَعْطَى,ETw
d34,Aadaa’a,أَدَاءٌ,Adw
d34,Deeyah,دِيَة,wdy
d34,Athaaba,أَثَابَ,vwb
d34,Wahaba,وَهَبَ,whb
d34,Rafada,رَفَدَ,rfd
d34,Dafa’aa Elaa,دَفَعَ إِلَى,dfE
d34,Hadeeyah,هَدِيَة,hdy
d34,Nih’lah,نِحْلَةً,nHl
d35,Jidaar,جِدَار,jdr
d35,Sadd,سَدّ,sdd
d35,Radm,رَدْم,rdm
d35,Soor,سُور,swr
d35,Bunyaan,بُنْيَان,bny
d36,Majnoon,مَجْنُون,jnn
d36,Khabata,خَبَطَ,xbT
d36,Maftoon,مَفْتُون,ftn
d36,Su’or,سُعُر,sEr
dd1,Alqaa,أَلْقَى,lqy
dd1,Salaka,سَلَكَ,slk
dd1,Nabatha,نَبَذَ,nb*
dd1,Qathafa,قَذَفَ,q*f
dd1,Afragha,اَفْرَغَ,frg
dd1,Awqa’aa,أَوْقَعَ,wqE
dd2,Aghraqa,أَغْرَقَ,grq
dd2,Sabagha,صَبَغَ,Sbg
dd3,Khaafa,خَافَ,xwf
dd3,Khashiya,خَشِيَ,x$y
dd3,Khasha’aa,خَشَعَ,x$E
dd3,Et’taqaa,اِتَّقَى,wqy
dd3,Raa’aa,رَاعَ,rwE
dd3,Hithrr,حِذْر,H*r
dd3,Awjasa,أَوْجَسَ,wjs
dd3,Wajafa,وَجَفَ,wjf
dd3,Wajala,وَجَلَ,wjl
dd3,Rahaba,رَهَبَ,rhb
dd3,Ra’a’ba,رَعَبَ,rEb
dd3,Ash’faqa,أَشْفَقَ,$fq
dd4,Khaw’wafa,خَوَّفَ,xwf
dd4,Hath’thara,حَذَّرَ,H*r
dd4,Arr’haba,أَرْهَبَ,rhb
dd4,Anthara,أَنْذَرَ,n*r
dd4,Aw’a’da,أَوْعَدَ,wEd
dd5,Dal’oo,دَلْو,dlw
dd5,Thanoob,ذَنُوب,*nb
dd6,Junnah,جُنَّة,jnn
dd6,Ur’dah,عُرْضَة,ErD
dd7,Janna,جَنَّ,jnn
dd7,Ghashiya,غَشى,g$w
dd7,Agh’shaa Wa Ghayyarah,أَغْشَى و غَيره,g$w
dd7,Arhaqa,أَرْهَق,rhq
dd8,Zaala,زَال,zwl
dd8,Dalaka,دَلَك,dlk
dd9,Talaba,طَلَبَ,Tlb
dd9,Eb’tighaa’a,إِبْتِغَاء,bgy
dd9,Tajass’sasa,تَجَسَّسَ,Hss
dd9,El’tamasa,إِلْتَمَسَ,lms
dd9,Jaasa,جَاسَ,jws
dd9,Buothira,بُعْثِرَ,bEv
dd9,Taharraa,تَحَرَّى,Hrw
