id,topic,topicUr
w1,plentiful,وافر- بہت
w2,The ones of/the people of ,والا-  والے
w3,inheritance,وراثت
w4,time,وقت
h1,"Hand, either right hand or left hand, arm",ہاتھ
h2,yes,ہاں
h3,To pant,ہانپنا
h4,To remove,ہٹانا
h5,"To receive guidance, to give guidance",ہدایت دینا پانا
h6,destruction,ہلاکت
h7,"To be perished, to destroy",ہلاک ہونا - کرنا
h8,"To be light(in weight), to make light",ہلکا ہونا - کرنا
h9,"To move, to shake ",ہلنا - ہلانا
h10,Congruence ,ہم آہنگی - ہونا
h11,To lose heart,ہمت ہارنا
h12,To make level,ہموار کرنا
h13,Always,ہمیشہ
h14,To remain always,ہمیشہ ہونا - رہنا
h15,To laugh,ہنسنا
h16,Wind  and its different types,ہوا اور اسکی اقسام
h17,To happen,ہونا
y1,or,یا
y2,To remember,یاد کرنا – آنا - رکھنا
y3,"To belief, to have faith",یقین کرنا
y4,To have complete devotion,یکسو ہونا
