id,topic,topicUr
A1,To settle,آباد ہونا
A2,"To cultivate, populate",آباد کرنا
A3,The Hereafter,آخرت  Also refer to the word قیامت
A4,"Man, human",آدمی انسان
A5,To rest,آرام کرنا
A6,To wish,آرزو کرنا
A7,Barrier,آڑ   Also refer toپردہ     and دیوار 
A8,Free,آزاد
A9,To free,آزادکرنا Also refer to رخصت کرنا
A10,"To test, Exam",آزمائش کرنا
A11,Easy,آسان
A12,heaven,آسمان
A13,To haunt,آسیب زدہ کرنا
A14,Fire,آگ
A15,"Live coal, cinder",آگ کا انگارہ
A16,"The burning of fire, to lit fire",آگ جلنا جلانا
A17,The fire’s burning something,آگ کا دوسری چیزوں  کو جلانا
A18,"To be extinguished, to extinguish",بجھنا بجھانا
A19,To be aware,آگاہ ہونا
A20,"To inform, show",آگاہ کرنا بتلانا
A21,"In front, ",آگے سامنے
A22,"To come forward, to go forward",آگے آنا بڑھنا
A23,To send forward,آگے بیھجنا 
A24,"Arms, weapons, armour",آلات جنگ
A25,To come,آنا
A26,Eyes,آنکھ
A27,To wander vagrancy,آوارہ پھرنا
A28,Noise and its kind,آواز اور اسکی اقسام
A29,To do something slowly,آہستہ آہستہ [کرنا]
AA1,"To boil, to rage",ابلنا [جوش مارنا]
AA2,Protrude,ابھار
AA3,To Encourage,ابھارنا
AA4,"To descend, to reveal, come down",اتارنا- اترنا
AA5,To be boastful/arrogant,اترانا – تکبر کرنا
AA6,To invent stories/slander,اٹکل پچو [من گھڑت]باتیں کرنا
AA7,"To carry, ",اٹھانا
AA8,To get up,اٹھنا
AA9,To get permission,اجازت لینا
AA10,"Obstinate, stubborn",اجڈ
AA11,Suddenly,اچانک
AA12,"Very good, better",اچھا خوب بہتر
AA13, To be strange,اچنبھا [اجنبی ہونا]
AA14,To do a favour,احسان کرنا
AA15,To have power,اختیار [رکھنا]
AA16,"To choose, select",اختیار کرنا 
AA17,Debt/credit,ادھار
AA18,To intend,ارادہ کرنا[قصد کرنا]
AA19,To persist,اڑنا
AA20,"To fly, to make fly",اڑنا اڑانا
AA21,To indicate,اشارہ کرنا
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری
AA23,Middle Path/Balanced/Moderation,اعتدال
AA24,The book of deeds,اعمال نامہ
AA25,"Remorse,  regret",افسوس
AA26,To give authority ,اقتدار بخشنا
AA27,"To acknowledge,  admit",اقرار کرنا
AA28,"To gather,   assemble",اکٹھا کرنا
AA29,"To uproot,    uproot",اکھاڑنا-اکھڑنا
AA30,One,اکیلا
AA31,If,اگر
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا
AA33,"To separate, to detatch",الگ[ جدا یا علحیدہ] کرنا
AA34,         To separate,الگ ہونا
AA35,To hope,امید    لگانا     امید لگانا
AA36,Intestines,انٹریاں
AA37,To await,انتظار کرنا 
AA38,End Result/Consequence,انجام [کار]
AA39,To estimate,andaza lagana
AA40,Inside,andar
AA41,Blind,اندھا
AA42,Justice(to do justice),انصاف[کرنا]
AA43,"To refute, to refuse",انکار کرنا
AA44,Fingers,انگلیاں
AA45,To cover,اوڑھنا
AA46,Children/Offspring,اولاد   
AA47,Wool,اون
AA48,Camel,اونٹ
AA49,Doze,اونگھ
AA50,Fuel,ایندھن  
AA51,"O,  (word of calling someone)",اے[حرف ندا] 
