id,topic,topicUr
j1,To spy,جاسوسی کرنا
j2,To know,جاننا
j3,"Side,  towards, over there",جانب سمت
j4,when,جب
j5,root,جڑھ
j6,Body,جسم
j7,"To bind, fasten, shackle",جکڑنا
j8,Place,جگہ
j9,Exile,جلا وطنی
j10,"To hasten, to hurry",جلدی کرنا
j11,Group,جماعت
j12,Groups of animals,جماعت جانوروں کی
j13,Jinn,جن
j14,Paradise and its different names,جنت اور اسکے مختلف نام
j15,"War, battle",جنگ
j16,To give birth,جننا
j17,"To answer, reply",جواب دینا 
j18,"Adolescence, youth",جوانی
j19,"Couple, pair",جوڑا
j20,To join,جوڑنا
j21,"Where, wherever",جہاں-  جہاں کہیں
j22,To scold,جھڑکنا 
j23,"To bend, bow, incline, stoop",جھکنا مائل ہونا
j24,"Cause to bend, stoop",جھکانا
j25,To quarrel,جھگڑنا
j26,lie,جھوٹ 
j27,"To lie, fabricate", جھوٹ بولنا یا بنانا
j28,"To falsify, belie, refute",جھٹلانا
ch1,Keys,چابی کنجی
ch2,Sheet,چادر
ch3,"Fodder,  grains – food for herbivores",چارہ
ch4,Moon,چاند
ch5,"To like, intend, desire",چاہنا
ch6,To stay/be quiet,چپ ہونا رہنا
ch7,Lamp,چراغ
ch8,To graze,چرانا
ch9,"To climb, ascend, rise",چڑھنا
ch10,"Fountain, spring",چشمہ
ch11,The bursting and flowing of a  stream,اور بہنا چشمہ کا پھوٹنا
ch12,To walk and types of walking,چلنا
ch13,Cause to walk or move,چلانا
ch14,To scream,چلانا چیخنا
ch15,"To stick , cling",چمٹنا
ch16,"Shine/flash, to shine/flash",چمک چمکنا
ch17,"Some, few",چند
ch18,To choose,چن لینا
ch19,Creatures,چوپائے
ch20,Violently smashed  or broken into minute pieces,  ریزہ ریزہ کرنا چورہ چورہ
ch21,To steal,چوری کرنا
ch22,guard,چوکیدار
ch23," hide,  disappear",چھپنا [غائب ہونا]
ch24,To conceal,چھپانا
ch25,roof,چھت
ch26,To leave,چھوڑنا   
ch27,Cause to liberate,چھڑانا
ch28,Touch,چھونا
